TimeCreated,Id,LevelDisplayName,Message,UserName,Computer
2026-05-07T07:18:53.851493,4776,Warning,The domain controller attempted to validate credentials. Error: 0xC000006A,root,WIN-SERVER01
2026-04-24T03:08:37.851526,1102,Warning,The audit log was cleared. Subject: postgres,postgres,WIN-SERVER01
2026-05-03T22:29:26.851539,4740,Warning,A user account was locked out. Account: postgres,postgres,WIN-SERVER01
2026-05-03T19:53:08.851551,5156,Information,The Windows Filtering Platform permitted a connection. 198.51.100.1,postgres,WIN-SERVER01
2026-04-29T13:16:39.851563,5156,Information,The Windows Filtering Platform permitted a connection. 172.16.5.4,bob,WIN-SERVER01
2026-04-26T15:53:45.851575,4648,Information,A logon was attempted using explicit credentials. alice,alice,WIN-SERVER01
2026-05-08T00:31:14.851587,4648,Information,A logon was attempted using explicit credentials. dave,dave,WIN-SERVER01
2026-04-17T17:01:42.851597,4776,Warning,The domain controller attempted to validate credentials. Error: 0xC000006A,bob,WIN-SERVER01
2026-04-28T21:10:55.851613,4648,Information,A logon was attempted using explicit credentials. admin,admin,WIN-SERVER01
2026-05-03T19:41:49.851623,4776,Warning,The domain controller attempted to validate credentials. Error: 0xC000006A,carol,WIN-SERVER01
2026-04-19T14:43:21.851634,4625,Warning,An account failed to log on. User: admin IP: 172.16.5.4,admin,WIN-SERVER01
2026-04-27T16:30:58.851644,4624,Information,An account was successfully logged on. Subject: root,root,WIN-SERVER01
2026-04-13T06:10:40.851655,4740,Warning,A user account was locked out. Account: admin,admin,WIN-SERVER01
2026-04-30T17:32:16.851666,4625,Warning,An account failed to log on. User: dave IP: 80.82.77.33,dave,WIN-SERVER01
2026-04-14T12:00:21.851673,5157,Warning,The Windows Filtering Platform blocked a connection from 10.0.0.22,admin,WIN-SERVER01
2026-05-10T10:21:22.851684,4672,Information,Special privileges assigned to new logon. admin,admin,WIN-SERVER01
2026-04-14T02:41:15.851691,4740,Warning,A user account was locked out. Account: alice,alice,WIN-SERVER01
2026-05-02T05:01:04.851698,5157,Warning,The Windows Filtering Platform blocked a connection from 172.16.5.4,root,WIN-SERVER01
2026-04-22T14:44:33.851704,4625,Warning,An account failed to log on. User: admin IP: 103.21.244.0,admin,WIN-SERVER01
2026-05-03T08:47:43.851711,4740,Warning,A user account was locked out. Account: alice,alice,WIN-SERVER01
2026-05-08T12:33:40.851717,5156,Information,The Windows Filtering Platform permitted a connection. 45.33.32.156,carol,WIN-SERVER01
2026-04-12T08:41:54.851724,4776,Warning,The domain controller attempted to validate credentials. Error: 0xC000006A,alice,WIN-SERVER01
2026-04-17T19:30:21.851730,1102,Warning,The audit log was cleared. Subject: bob,bob,WIN-SERVER01
2026-05-07T11:44:28.851737,4624,Information,An account was successfully logged on. Subject: admin,admin,WIN-SERVER01
2026-05-12T06:11:22.851743,1102,Warning,The audit log was cleared. Subject: admin,admin,WIN-SERVER01
2026-05-03T08:36:17.851750,4624,Information,An account was successfully logged on. Subject: admin,admin,WIN-SERVER01
2026-05-01T06:07:43.851756,4672,Information,Special privileges assigned to new logon. postgres,postgres,WIN-SERVER01
2026-04-17T16:25:30.851763,4625,Warning,An account failed to log on. User: root IP: 185.220.101.5,root,WIN-SERVER01
2026-05-12T10:53:19.851770,4648,Information,A logon was attempted using explicit credentials. bob,bob,WIN-SERVER01
2026-04-26T02:06:09.851777,4740,Warning,A user account was locked out. Account: eve,eve,WIN-SERVER01
